Programme,Session,Run,Name,Comment,drag short,drag long,side short,side long,cda short,cda long,yaw angle,air speed nominal,air speed nominal perceived,air speed target,air speed target perceived,air speed actual,air speed actual perceived,air temperature,air density,humidity,absolute air pressure,dynamic pressure,cadence,wheel speed,wheel power,power required live,load1 Vf,load2_Vrr,load3 Vrl,load4 D,load5 Sr,load6 Sf
P0018,S0001,R0001,Venturi suit baseline,-,8.170932181,8.206473578,-12.06598003,-12.145532,0.276623973,0.277827214,0.001429324,6.94445,6.944449998,7.052202836,7.052202834,7.058518944,7.058518942,19.92733567,1.187851631,30.34564087,100196.9766,29.59468304,107.1523996,8.649412079,87.36527748,56.98944542,1929.961549,1156.933001,920.2694367,-3.784861333,-1.8981,-0.119646333
P0018,S0001,R0001,Venturi suit baseline,-,8.08993046,8.129936593,-8.900686243,-8.872933406,0.27595517,0.277319812,4.972768038,6.94445,6.918311157,7.053671036,7.027121086,7.049755011,7.0232198,20.05453423,1.187357186,30.21540687,100199.6978,29.50705263,100.4175533,8.565789576,82.10322577,56.24543091,1931.198173,1162.097322,913.5168582,-3.837490157,-4.309137471,-2.545600934
P0018,S0001,R0001,Venturi suit baseline,-,7.790643902,7.732948118,-6.850144594,-6.769331891,0.271889154,0.269875554,9.963705974,6.94445,6.8397107,7.053568883,6.947183803,7.04116132,6.934963379,20.05002022,1.187391575,30.21406465,100200.9658,29.43637206,104.5221558,9.422362565,88.27576149,52.89112739,1932.560268,1164.414277,909.717131,-4.228443667,-6.591110667,-5.42275
P0018,S0001,R0001,Venturi suit baseline,-,7.690480249,7.684166001,-3.9463954,-3.90648511,0.279012539,0.278783493,14.98513195,6.94445,6.708289786,7.053290077,6.813428533,7.049853321,6.810108653,20.05002022,1.18748545,30.10912956,100207.9361,29.51167192,97.02706653,8.96601481,83.81760103,51.54761208,1933.557524,1168.404582,902.535909,-4.435565667,-9.425347333,-7.743374667
P0018,S0001,R0001,Venturi suit baseline,-,11.46873965,11.48835893,-12.45901446,-12.37570881,0.269631998,0.27009325,0.001430128,8.33334,8.333339997,8.464316788,8.464316786,8.479554635,8.479554633,20.0441139,1.187381951,30.34200927,100199.1767,42.69184961,108.0820623,8.740690609,87.79760266,95.73640098,1926.718526,1158.187972,922.4694768,-0.493738564,-1.886123205,-0.00055192
P0018,S0001,R0001,Venturi suit baseline,-,11.23747476,11.26555833,-8.294781073,-8.28508471,0.266195073,0.266860311,4.97276808,8.33334,8.301973388,8.464456541,8.432596408,8.477151775,8.445243855,20.05805002,1.187342739,30.34025968,100200.8454,42.66509759,102.8857557,9.43605991,89.40224459,93.52636514,1929.246425,1163.695471,912.9165893,-0.636135667,-5.131565333,-3.716698333
P0018,S0001,R0001,Venturi suit baseline,-,10.7166158,10.69482122,-4.629424913,-4.633750384,0.259724955,0.259196752,9.963703546,8.33334,8.207652901,8.464060731,8.336402045,8.470376499,8.342622552,20.04294502,1.187453793,30.26056027,100204.0849,42.60154393,103.2545285,9.470214008,88.86262741,87.7793798,1929.165498,1169.521407,906.4728672,-1.291274246,-8.676494148,-7.902772069
P0018,S0001,R0001,Venturi suit baseline,-,10.60646352,10.62291106,-0.976450735,-1.044934597,0.267225839,0.267640228,14.98513279,8.33334,8.049947711,8.464248983,8.176404867,8.480519957,8.192122509,20.06123035,1.187400973,30.21010953,100205.7268,42.7015682,101.5160758,9.286380471,86.68082936,85.51387786,1931.085115,1174.736095,898.257525,-1.453649667,-12.338607,-11.35426933
P0018,S0001,R0001,Venturi suit baseline,-,15.27423396,15.23994804,-12.50662303,-12.38213267,0.263828414,0.263236201,0.001428829,9.72223,9.722229997,9.875493606,9.875493603,9.870840965,9.870840962,20.06660222,1.18727205,30.3461961,100198.003,57.84462868,107.9415412,8.660302933,85.83142257,148.16628,1924.647235,1158.808091,923.4559787,3.207077667,-1.864796333,0.095658333
P0018,S0001,R0001,Venturi suit baseline,-,15.16320903,15.16187694,-7.336682373,-7.421056893,0.263893564,0.263870371,4.972769025,9.72223,9.685635605,9.875227197,9.838056922,9.887479223,9.850262831,20.05383953,1.187336105,30.34607058,100198.8332,58.04456748,106.6030438,9.538908673,89.83462205,146.8524149,1925.099274,1166.877258,912.7118737,3.255893667,-6.376901,-5.081775333
